age,job,marital,education
40,technician,married,basic.4y
42,blue-collar,married,high.school
40,technician,married,basic.4y
38,blue-collar,single,basic.4y
39,blue-collar,married,basic.6y
41,blue-collar,married,basic.4y
39,blue-collar,married,basic.6y
41,blue-collar,married,basic.4y
45,admin.,married,university.degree
35,admin.,divorced,university.degree
35,admin.,married,basic.6y
49,blue-collar,married,high.school
36,technician,married,unknown
23,admin.,single,university.degree
43,unemployed,married,university.degree
49,entrepreneur,married,professional.course
36,technician,married,professional.course
51,blue-collar,married,basic.9y
56,retired,married,basic.4y
45,housemaid,married,high.school
42,admin.,married,high.school
41,admin.,divorced,high.school
32,services,married,high.school
46,management,married,university.degree
37,blue-collar,married,unknown
53,management,married,university.degree
30,blue-collar,married,basic.4y
45,unknown,married,unknown
24,technician,single,professional.course
45,unknown,married,unknown
34,admin.,single,university.degree
41,management,married,university.degree
59,blue-collar,married,basic.4y
45,blue-collar,married,basic.4y
54,blue-collar,married,basic.6y
32,technician,married,professional.course
33,technician,married,professional.course
32,admin.,married,university.degree
34,services,single,high.school
46,management,married,university.degree
57,technician,married,professional.course
42,technician,married,basic.9y
48,admin.,married,professional.course
58,admin.,divorced,university.degree
34,services,married,high.school
32,admin.,single,university.degree
48,blue-collar,married,basic.9y
47,blue-collar,married,basic.9y
31,services,married,high.school
32,admin.,single,university.degree
32,admin.,single,university.degree
36,services,married,high.school
53,blue-collar,married,basic.4y
37,blue-collar,married,basic.9y
50,services,married,high.school
46,blue-collar,married,basic.6y
41,admin.,married,high.school
43,blue-collar,single,basic.4y
51,management,married,university.degree
38,admin.,married,university.degree
41,technician,married,basic.6y
39,services,married,high.school
52,blue-collar,married,basic.4y
37,technician,married,professional.course
41,admin.,married,basic.9y
46,admin.,divorced,university.degree
47,technician,married,professional.course
35,technician,married,professional.course
38,services,married,high.school
30,blue-collar,single,unknown
46,blue-collar,married,basic.9y
30,technician,married,professional.course
35,services,single,basic.4y
58,admin.,married,unknown
